Channel Title,Channel Username,ID,Message,Date,Media Path
ምርጥ ዕቃ,@MerttEka,6821,,2024-09-29 15:35:04+00:00,photos/@MerttEka_6821.jpg
ምርጥ ዕቃ,@MerttEka,6820,,2024-09-29 15:35:03+00:00,photos/@MerttEka_6820.jpg
ምርጥ ዕቃ,@MerttEka,6819,"📣 🔠🔠🔠🔠🔠🔠🔠 🔠🔠🔠🔠🔠

✔️ ዘመናዊ በኤሌክትሮኒክስ የሚሰራ ሚዛን
✔️እስከ 50 ኪሎ ይመዝናል
✔️ በባትሪ ድንጋይ የሚሰራ
✔️ ምንም የማያዛንፍ ሃቀኛ ሚዛን
✔️ በቀላሉ በኪስ የሚያዝ
✔️ ውጭ ሀገር ዕቃ ለሚልኩ እና ለተንቀሳቃሽ ነጋዴዎች ይፈለጋል

💵💵900 ብር💵💵

🔔 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

🔔 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

🔄 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

💬ለማዘዝ  👉 @ordermertteka1       
💬 ለማዘዝ  👉 @ordermertteka2

👍ለወዳጅዎ forward በማድረግ ይተባበሩን👍
➡️ 0944-22-23-24
➡️ 0904-94-48-48

🌐አድራሻችን🌐

🗺መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

🔔በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ።

📎 ይሄንን👉 t.me/MerttEka 👈 ተጭነው  join ያድርጉ፣ ቤተሰብ ይሁኑ",2024-09-29 15:35:03+00:00,photos/@MerttEka_6819.jpg
ምርጥ ዕቃ,@MerttEka,6818,"📣 🔠🔠🔠🔠🔠 🔠🔠🔠🔠🔠🔠🔠🔠 🔠🔠🔠🔠🔠🔠

✔️ ቦርጭ የሚሰበስብ
✔️የቦርጭ ስብ የሚያቃጥል 
✔️ ማራኪ የሰውነት ቅርፅ ይሰጣል
✔️ ጀርባ በመደገፍ የወገብ ህመም ይቀንሳል
✔️ ለወለዱ እናቶች የሚያስፈልግ
✔️5 ሜትር 

💵💵850 ብር💵💵


🔔 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

🔔 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

🔄 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

💬ለማዘዝ  👉 @ordermertteka1       
💬 ለማዘዝ  👉 @ordermertteka2

👍ለወዳጅዎ forward በማድረግ ይተባበሩን👍
➡️ 0944-22-23-24
➡️ 0904-94-48-48

🌐አድራሻችን🌐

🗺መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

🔔በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ።

📎 ይሄንን👉 t.me/MerttEka 👈 ተጭነው  join ያድርጉ፣ ቤተሰብ ይሁኑ",2024-09-29 15:13:37+00:00,photos/@MerttEka_6818.jpg
ምርጥ ዕቃ,@MerttEka,6817,"📣 Multi Functional Shoe and Hat Rack

📎 ይሄንን👉 t.me/MerttEka 👈 ተጭነው  join ያድርጉ፣ ቤተሰብ ይሁኑ",2024-09-29 14:53:49+00:00,
ምርጥ ዕቃ,@MerttEka,6816,"📣 Multi Functional Shoe and Hat Rack

✔️ ባለ ዘርፈ ብዙ ጥቅም 
✔️ ለጫማ፣ ለባርኔጣ፡ኮፍያ መሰል ዕቃዎች ማስቀመጫ
✔️ የሚገጣጠም ከማይዝግ ብረት የተሰራ ባለ 5 ደረጃ
✔️1.70ሜትር × 26cm ×  80cm ስፋት
✔️ አነስተኛ ቦታ የሚይዝ

💵💵 3600 ብር💵💵

🔔 ሱቃችን መጥተው መኪና ማቆሚያ ከተቸገሩ መኪናዎ ላይ ሆነው ይደውሉ እናቀብልዎታለን

🔔 ከ100 እስከ 200 ብር ብቻ ከፍለው ካሉበት እንልካለን

🔄 ክፍለሃገር ላላችሁ ደንበኞቻችን የፈለጉትን ዕቃ በመልዕክት እንልክልዎታለን

💬ለማዘዝ  👉 @ordermertteka1 
💬 ለማዘዝ  👉 @ordermertteka2

👍ለወዳጅዎ forward በማድረግ ይተባበሩን👍
➡️ 0944-22-23-24
➡️ 0904-94-48-48

🌐አድራሻችን🌐

🗺መገናኛ ዘፍመሽ ግራንድ ሞል 3ኛ ፎቅ ከሊፍት ሲወርዱ ወደ ቀኝ ታጥፈው ቀጥታ 376‌

🔔በኪስዎ ጥሬ ገንዘብ ካልያዙ በሞባይል ማስተላለፍ ይችላሉ።

📎 ይሄንን👉 t.me/MerttEka 👈 ተጭነው  join ያድርጉ፣ ቤተሰብ ይሁኑ",2024-09-29 14:50:01+00:00,photos/@MerttEka_6816.jpg
ምርጥ ዕቃ,@MerttEka,6815,"🔠🔠🔠🔠🔠🔠 🔠🔠🔠🔠

📣 Breast Shell Milk Collector

📎 ይሄንን👉 t.me/MerttEka 👈 ተጭነው  join ያድርጉ፣ ቤተሰብ",2024-09-27 18:15:44+00:00,
ምርጥ ዕቃ,@MerttEka,6814,,2024-09-27 18:14:53+00:00,photos/@MerttEka_6814.jpg
ምርጥ ዕቃ,@MerttEka,6813,,2024-09-27 18:14:53+00:00,photos/@MerttEka_6813.jpg
ምርጥ ዕቃ,@MerttEka,6812,,2024-09-27 18:14:53+00:00,photos/@MerttEka_6812.jpg
